ASIN,Category,Product Link,No of Seller,Rank,Rating,Reviews Count,Price,Quantity
B079QHML21,Electronics,https://www.amazon.com/gp/offer-listing/B079QHML21/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,1,4.7,"640,721",$4.00 ,3
B07FZ8S74R,Electronics,https://www.amazon.com/gp/offer-listing/B07FZ8S74R/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,2,4.7,"854,114",$4.22 ,6
B07XJ8C8F5,Electronics,https://www.amazon.com/gp/offer-listing/B07XJ8C8F5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,3,4.7,"267,821",$4.33 ,9
B07WVFCVJN,Electronics,https://www.amazon.com/gp/offer-listing/B07WVFCVJN/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,27,4,4.8,"114,267",$4.44 ,12
B08YT2N5SX,Electronics,https://www.amazon.com/gp/offer-listing/B08YT2N5SX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,5,4.7,"267,821",$5.00 ,15
B07TMJ1R3X,Electronics,https://www.amazon.com/gp/offer-listing/B07TMJ1R3X/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,6,4.6,"100,278",$5.06 ,18
B07X6C9RMF,Electronics,https://www.amazon.com/gp/offer-listing/B07X6C9RMF/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,7,4.5,"111,650",$5.28 ,21
B08BX7FV5L,Electronics,https://www.amazon.com/gp/offer-listing/B08BX7FV5L/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,8,4.5,"1,228",$5.51 ,24
B075XLWML4,Electronics,https://www.amazon.com/gp/offer-listing/B075XLWML4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,67,9,4.7,"85,934",$5.75 ,27
B089DR29T6,Electronics,https://www.amazon.com/gp/offer-listing/B089DR29T6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,10,,"434,174",$5.77 ,30
B07WDDT3G5,Electronics,https://www.amazon.com/gp/offer-listing/B07WDDT3G5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,12,4.7,"83,773",$5.99 ,33
B086DKSHQ4,Electronics,https://www.amazon.com/gp/offer-listing/B086DKSHQ4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,13,4.4,"54,100",$6.90 ,36
